Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Experience_Ratio,Engagement_Score,Promotion_Delay_Ratio,Attrition_Probability,Risk_Category
36,1,2,1218,2,9,4,1,3,1,82,2,1,8,1,2,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,309.72727272727275,2.0,0.0,0.7044733526485274,High Risk
34,0,2,419,1,7,4,1,1,0,53,3,3,5,2,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,856.7142857142857,2.25,0.15384615384615385,0.12125984182730093,Low Risk
21,0,2,391,1,15,2,1,3,1,96,3,1,6,4,2,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,1232.0,3.5,0.0,0.45135935397153476,Medium Risk
34,1,2,699,1,6,1,3,2,1,83,3,1,6,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,328.8888888888889,2.25,0.2,0.6442470502841047,High Risk
53,0,2,1282,1,5,3,4,3,0,58,3,5,3,3,0,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,707.1851851851852,3.25,0.26666666666666666,0.004577560926474311,Low Risk
32,1,1,1125,1,16,1,1,2,0,72,1,1,6,1,2,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,356.27272727272725,1.5,0.5454545454545454,0.9327815774616568,High Risk
42,0,2,691,2,8,4,2,3,1,48,3,2,7,2,1,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,620.4545454545455,3.0,0.4,0.3059695739439211,Medium Risk
44,0,2,477,1,7,4,3,1,0,42,2,3,0,4,1,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,409.92,2.75,0.21739130434782608,0.10859629413169211,Low Risk
46,0,2,705,2,2,4,2,2,0,83,3,5,3,1,2,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,823.7826086956521,2.5,0.6666666666666666,0.15225976645321238,Low Risk
33,0,2,924,1,2,3,3,3,1,78,3,1,2,4,2,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,312.0,3.5,0.0,0.32494190572756587,Medium Risk
44,0,2,1459,1,10,4,4,4,1,41,3,2,0,4,1,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,646.5,3.75,0.2,0.23505992382466823,Low Risk
30,0,2,125,1,9,2,3,4,1,83,2,1,2,3,2,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,200.54545454545453,2.5,0.09090909090909091,0.5068973199724106,Medium Risk
39,1,2,895,2,5,3,5,4,1,56,3,2,8,4,1,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,104.3,3.5,0.0,0.09637075472148006,Low Risk
24,1,2,813,1,1,3,3,2,1,61,3,1,6,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,327.57142857142856,2.5,0.6666666666666666,0.7952977744637375,High Risk
43,0,2,1273,1,2,2,3,4,0,72,4,1,6,3,0,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,377.85714285714283,3.75,0.16666666666666666,0.020283140191323764,Low Risk
50,1,2,869,2,3,2,2,1,1,86,2,1,8,3,1,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,670.75,2.25,0.0,0.8607658346389302,High Risk
35,0,2,890,2,2,3,2,4,0,97,3,1,8,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,671.3333333333334,3.0,0.6666666666666666,0.18588323957207417,Low Risk
36,0,2,852,1,5,4,1,2,0,82,2,1,6,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,488.42857142857144,2.25,0.0,0.8761039283969352,High Risk
33,0,1,1141,2,1,3,1,3,0,42,4,2,7,1,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,488.72727272727275,2.25,0.16666666666666666,0.10769677548808042,Low Risk
35,0,2,464,1,4,2,4,3,1,75,3,1,2,4,0,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,975.5,3.25,0.0,0.2736239861820611,Low Risk
27,0,2,1240,1,2,4,1,4,0,33,3,1,2,1,0,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,1170.5,3.0,0.0,0.16458422038272694,Low Risk
26,1,2,1357,1,25,3,1,1,1,48,1,1,2,3,2,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1146.5,2.0,0.0,0.9460407433480791,High Risk
27,0,1,994,2,8,3,1,4,1,37,3,3,7,3,2,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,872.6,3.5,0.1,0.10479892604478504,Low Risk
30,0,1,721,1,1,2,3,3,0,58,3,2,2,4,2,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,308.53846153846155,3.5,0.23076923076923078,0.08623301579738048,Low Risk
41,1,2,1360,1,12,3,5,2,0,49,3,5,5,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,814.375,3.0,0.6521739130434783,0.13773600729122262,Low Risk
34,0,0,1065,2,23,4,2,2,1,72,3,2,7,3,2,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,415.27272727272725,2.75,0.8,0.602595752376295,High Risk
37,0,2,408,1,19,2,1,2,1,73,3,1,6,2,1,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,335.77777777777777,2.0,0.0,0.6850122392986793,High Risk
46,0,1,1211,2,5,4,2,1,1,98,3,2,7,4,2,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,384.8,2.75,0.0,0.5063484482870807,Medium Risk
35,0,2,1229,1,8,1,1,4,1,36,4,1,2,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,1134.5,4.0,0.0,0.10711134038180295,Low Risk
48,1,2,626,1,1,2,1,1,1,98,2,3,2,3,2,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,224.20833333333334,2.5,0.0,0.9032191456420358,High Risk
28,1,2,1434,1,5,4,5,3,1,50,3,1,2,3,2,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1147.0,3.0,0.6666666666666666,0.886286469349454,High Risk
44,0,2,1488,2,1,5,2,2,0,75,3,2,7,1,0,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,545.4,2.25,0.2,0.6360799452764362,High Risk
35,0,0,1097,1,11,2,3,3,1,79,2,3,0,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,898.5454545454545,2.25,0.4,0.7572903189361309,High Risk
26,0,2,1443,2,23,3,2,3,0,47,2,2,7,4,1,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,692.8333333333334,3.0,0.0,0.8764091110861322,High Risk
33,0,1,515,1,1,2,1,1,0,98,3,3,5,4,2,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,841.125,2.75,0.5,0.2506421503145337,Low Risk
35,0,1,853,2,18,5,1,2,1,71,3,3,7,1,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,906.9,2.5,0.1,0.17189133501643478,Low Risk
35,0,2,1142,1,23,4,3,3,0,30,3,1,2,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,802.8,2.5,0.6666666666666666,0.8395830669738711,High Risk
31,0,2,655,1,7,4,1,4,1,48,3,2,2,4,0,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,537.7272727272727,3.75,0.125,0.021471433436986917,Low Risk
37,0,2,1115,1,1,4,1,1,1,51,2,2,4,3,0,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,749.125,2.25,0.0,0.06906960526072012,Low Risk
32,0,2,427,1,1,3,3,1,1,33,3,2,4,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,616.2,2.5,0.7,0.5497761946143068,Medium Risk
38,0,1,653,1,29,5,1,4,0,50,3,2,2,4,2,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,218.72727272727272,3.75,0.8181818181818182,0.35646028555678483,Medium Risk
50,0,2,989,1,7,2,3,2,0,43,2,5,5,3,0,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,624.6666666666666,2.75,0.4642857142857143,0.8038357106089209,High Risk
59,0,2,1435,2,25,3,1,1,0,99,3,3,7,1,2,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,263.3448275862069,2.25,0.3181818181818182,0.622877021973349,High Risk
36,0,2,1223,1,8,3,5,3,0,59,3,3,0,3,0,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,560.8888888888889,2.75,0.6666666666666666,0.08061299216722732,Low Risk
55,0,2,836,1,8,3,3,4,0,33,3,4,3,3,0,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,670.7272727272727,3.25,0.0,0.05056607841833816,Low Risk
36,0,1,1195,1,11,3,1,2,1,95,2,2,4,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,928.4285714285714,2.25,0.0,0.4344958609623197,Medium Risk
45,0,2,1339,1,7,3,1,2,1,59,3,3,6,1,0,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,374.0,2.25,0.0,0.06747414768754331,Low Risk
35,0,1,664,1,1,3,3,2,1,79,3,1,6,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,365.6666666666667,2.5,0.25,0.5184090015750275,Medium Risk
36,1,2,318,1,9,3,3,4,1,79,2,1,6,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1129.3333333333333,2.5,0.0,0.8902984083051684,High Risk
59,0,1,1225,2,1,1,1,1,0,57,2,2,7,3,2,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,260.6190476190476,2.5,0.2,0.5156092142803229,Medium Risk
29,0,2,1328,1,2,3,1,3,1,76,3,1,6,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,386.14285714285717,3.0,0.0,0.06082533378043792,Low Risk
31,0,2,1082,1,1,4,3,3,1,87,3,1,6,2,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,1250.5,2.5,0.5,0.5570366913232088,Medium Risk
32,0,2,548,1,1,3,1,2,1,66,3,2,6,2,1,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,565.4545454545455,2.25,0.0,0.08518152271486569,Low Risk
36,0,2,132,1,6,3,1,2,0,55,4,1,2,4,1,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,506.3333333333333,3.0,0.0,0.27529382191419055,Low Risk
31,0,2,746,1,8,4,1,3,0,61,3,2,4,4,2,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,368.6666666666667,3.5,0.08333333333333333,0.059940741656704044,Low Risk
35,0,2,776,2,1,4,2,3,1,32,2,2,7,1,2,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,253.64705882352942,2.0,0.125,0.39875891607878683,Medium Risk
45,0,2,193,1,6,4,4,4,1,52,3,3,5,1,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,735.8333333333334,2.5,0.0,0.45650212070664997,Medium Risk
37,0,2,397,1,7,4,3,1,1,30,3,3,5,3,2,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,803.7647058823529,2.0,0.0,0.3655632520988385,Medium Risk
46,0,2,945,0,5,2,3,2,1,80,3,2,1,2,0,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,295.3529411764706,2.75,0.0,0.4840884641997107,Medium Risk
30,0,2,852,1,1,1,1,4,1,55,2,2,2,4,1,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,466.0,3.25,0.2727272727272727,0.561621923398855,Medium Risk
35,0,2,1214,1,1,3,3,2,1,30,2,1,6,3,2,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,408.42857142857144,2.0,0.0,0.40814067189586944,Medium Risk
55,0,2,111,2,1,2,1,1,1,70,3,3,7,4,1,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,409.56,3.0,0.5,0.08832374653885533,Low Risk
38,0,0,573,1,6,3,3,2,0,79,1,2,6,4,0,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,296.05555555555554,2.75,0.07142857142857142,0.2702378367808224,Low Risk
34,0,2,1153,1,1,2,3,1,1,94,3,2,4,2,1,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,720.8333333333334,2.25,0.16666666666666666,0.4228815241896008,Medium Risk
56,0,2,1400,1,7,3,1,4,1,49,1,3,4,4,2,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,191.05263157894737,2.5,0.0,0.20357696967509864,Low Risk
23,0,2,541,2,2,1,5,3,1,62,3,1,8,1,0,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,580.5,2.5,0.0,0.5745630443384103,Medium Risk
51,0,2,432,1,9,4,1,4,1,96,3,1,2,4,1,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,188.63636363636363,3.25,0.0,0.06286077891118462,Low Risk
30,0,2,288,1,2,3,1,3,1,99,2,2,0,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,346.0,2.5,0.8333333333333334,0.15660655756504496,Low Risk
46,1,2,669,2,9,2,3,3,1,64,2,3,7,4,2,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,961.9,3.25,0.4,0.1597897368899735,Low Risk
40,0,1,530,1,1,4,1,3,1,78,2,4,0,2,1,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,587.0869565217391,2.75,0.4782608695652174,0.3134829080030445,Medium Risk
51,0,2,632,2,21,4,2,3,1,71,3,2,7,4,2,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,453.4166666666667,3.5,0.09090909090909091,0.7506925845348799,High Risk
30,0,2,1334,2,4,2,3,3,0,63,2,2,7,2,0,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,434.0833333333333,2.25,0.16666666666666666,0.4036802643608813,Medium Risk
46,0,1,638,1,1,3,3,3,1,40,2,3,0,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,485.1363636363636,2.25,0.8181818181818182,0.6141028196269814,High Risk
32,0,2,1093,2,6,4,3,2,1,87,3,2,7,3,2,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,385.38461538461536,2.25,0.4166666666666667,0.565581016300702,Medium Risk
54,0,2,1217,1,2,4,5,1,0,60,3,3,5,3,1,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,797.0,2.0,0.0,0.2195313677163724,Low Risk
24,0,2,1353,2,3,2,4,1,0,33,3,2,7,3,1,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,999.8,2.0,0.0,0.5210871219082123,Medium Risk
28,0,0,120,2,4,3,3,2,1,43,3,2,7,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,703.5,2.5,0.0,0.32239826637629176,Medium Risk
58,0,2,682,2,10,4,3,4,1,37,3,4,7,3,2,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,355.6923076923077,3.25,0.02631578947368421,0.283399698671314,Low Risk
44,0,0,489,1,23,3,3,2,1,67,3,2,2,2,1,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,113.44444444444444,2.5,0.25,0.4695589378156144,Medium Risk
37,1,2,807,0,6,4,0,3,1,63,3,1,1,1,0,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,259.125,2.75,0.0,0.4478204397310423,Medium Risk
32,0,2,827,1,1,1,1,4,1,71,3,1,6,1,2,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,1478.0,3.0,0.0,0.6051717933804389,High Risk
20,1,1,871,1,6,3,1,4,0,66,2,1,2,4,2,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1463.0,3.0,0.5,0.7974685841661625,High Risk
34,0,2,665,1,6,4,4,1,0,41,3,2,6,3,2,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,282.88235294117646,2.5,0.11764705882352941,0.15235979618035225,Low Risk
37,0,0,1040,1,2,2,1,3,1,100,2,2,0,4,0,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,286.8333333333333,3.25,0.0,0.08352228667860107,Low Risk
59,0,0,1420,0,2,4,0,3,0,32,2,5,3,4,1,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,607.8709677419355,3.25,0.5,0.005303392067699977,Low Risk
50,0,1,1115,1,1,3,1,1,0,73,3,5,5,2,1,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,626.6206896551724,1.75,0.0,0.1187660420475471,Low Risk
25,1,2,240,2,5,3,2,3,1,46,2,2,7,3,2,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,820.5714285714286,3.0,0.0,0.8943562390018868,High Risk
25,0,2,1280,1,7,1,3,4,1,64,2,1,6,4,1,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,963.0,3.25,0.6666666666666666,0.28375767096874005,Low Risk
22,0,2,534,1,15,3,3,2,0,59,3,1,2,4,2,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,1435.5,3.0,0.0,0.6399376485181464,High Risk
51,0,1,1456,1,1,4,3,1,0,30,2,3,0,1,2,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,311.8333333333333,1.75,0.8571428571428571,0.6690966277414692,High Risk
34,1,1,658,1,7,3,1,1,1,66,1,2,2,3,2,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,607.4,2.25,0.0,0.7315310937659925,High Risk
54,0,0,142,0,26,3,0,4,0,30,4,4,3,4,2,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,722.0,3.75,0.6666666666666666,0.04643178313886827,Low Risk
24,0,2,1127,1,18,1,1,2,1,52,3,1,2,3,1,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,396.2857142857143,2.75,0.16666666666666666,0.3650052258399496,Medium Risk
34,0,2,1031,1,6,4,1,3,0,45,2,2,6,2,0,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,346.53846153846155,2.5,0.0,0.20614950663798784,Low Risk
37,0,2,1189,2,3,3,1,3,1,87,3,3,7,4,2,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,571.3846153846154,2.75,0.16666666666666666,0.1943271840705173,Low Risk
34,0,2,1354,1,5,3,3,3,0,45,2,3,3,1,2,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,775.4,2.5,0.4166666666666667,0.1042267103196128,Low Risk
36,0,1,1467,2,11,2,5,2,0,92,3,3,7,4,1,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,885.2727272727273,3.0,0.2,0.03471527114142278,Low Risk
36,0,2,922,1,3,2,1,1,0,39,3,1,2,4,0,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,354.375,2.25,0.0,0.2611596524287289,Low Risk
43,0,1,394,2,26,2,1,3,1,92,3,4,3,4,1,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,652.2692307692307,3.5,0.15384615384615385,0.13285066020137087,Low Risk
30,0,1,1312,1,23,3,1,1,1,96,1,1,6,3,0,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,237.54545454545453,2.0,0.0,0.16359389278046899,Low Risk
33,0,0,750,2,22,2,2,3,1,95,3,2,7,2,1,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,682.8888888888889,2.25,0.0,0.1836367964868371,Low Risk
56,1,2,441,1,14,4,1,2,0,72,3,1,6,2,1,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,620.375,2.0,0.6666666666666666,0.8237581304500927,High Risk
51,0,2,684,1,6,3,1,1,1,51,3,5,5,3,2,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,814.0416666666666,2.5,0.7142857142857143,0.07884218606044224,Low Risk
31,1,2,249,2,6,4,1,2,1,76,1,2,7,3,1,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,474.7692307692308,2.0,0.875,0.9030335599314666,High Risk
26,0,2,841,1,6,3,4,3,0,46,2,1,6,2,1,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,394.6666666666667,2.5,0.6666666666666666,0.41222567112494096,Medium Risk
58,1,2,147,1,23,4,3,4,0,94,3,3,0,4,1,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,251.5121951219512,3.75,0.36585365853658536,0.7109163016042891,High Risk
19,1,2,528,2,22,1,2,4,1,50,3,1,8,3,2,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,1675.0,3.5,0.0,0.9656844452289955,High Risk
22,0,2,594,1,2,1,5,3,1,100,3,1,2,4,1,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,630.75,3.25,0.6666666666666666,0.2950254864263759,Low Risk
49,0,2,470,1,20,4,3,3,0,96,3,2,4,1,1,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,386.29411764705884,2.5,0.3125,0.18070596497929223,Low Risk
43,0,1,957,1,28,3,3,2,0,72,4,1,6,3,2,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,249.42105263157896,3.25,0.25,0.31634776510807827,Medium Risk
50,0,1,809,2,12,3,2,3,0,77,3,3,7,4,2,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,541.6470588235294,3.5,0.6666666666666666,0.12941215605294512,Low Risk
31,1,2,542,2,20,3,1,2,0,71,1,2,7,3,1,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,911.8,2.25,0.6666666666666666,0.9459105404207784,High Risk
41,0,2,802,2,9,1,1,3,1,96,3,3,7,3,0,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,629.9230769230769,3.0,0.0,0.22340755895249056,Low Risk
26,0,2,1355,0,25,1,1,3,0,61,3,1,1,3,1,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,326.8888888888889,3.25,0.5555555555555556,0.061951005448679125,Low Risk
36,0,2,216,1,6,2,3,2,1,84,3,2,4,2,0,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,617.625,2.75,0.0,0.3775903889823038,Medium Risk
51,1,1,1150,1,8,4,1,1,1,53,1,3,4,4,2,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,560.5263157894736,2.5,0.0,0.19841517949179263,Low Risk
39,0,2,1329,2,4,4,1,4,0,47,2,2,7,3,1,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,327.8888888888889,3.0,0.3125,0.10617815219978043,Low Risk
25,0,2,959,2,28,3,1,1,1,41,2,2,7,3,1,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,1234.142857142857,2.5,0.6666666666666666,0.6588665976287961,High Risk
